postal_code,placename,longitude,latitude,Diesel,Electric,Gas,Total
64900,Isojoki,21.957860713670573,62.114798793560766,0.0,0.0,0.0,0.0
23390,Iniö,21.37871254217543,60.38376778570305,0.0,0.0,0.0,0.0
55120,Imatra,28.75063711331958,61.18539397324899,25.0,0.0,0.0,25.0
82900,Ilomantsi,30.931926906400793,62.674740032504246,9.0,0.0,0.0,9.0
60800,Ilmajoki,22.581559856029642,62.73245492924443,0.0,0.0,0.0,0.0
74120,Iisalmi,27.184838336325004,63.578497420633944,6.0,8.0,0.0,14.0
74120,Iisalmi,27.191484092905107,63.57263848109041,6.0,8.0,0.0,14.0
91100,Ii,25.376037423566487,65.30807654982216,0.0,0.0,0.0,0.0
13110,Hämeenlinna,24.48236842387191,60.98722279147206,24.0,8.0,0.0,32.0
13430,Hämeenlinna,24.454739138609384,60.95495675293424,24.0,8.0,0.0,32.0
5800,Hyvinkää,24.85096468165681,60.651686265434684,20.0,0.0,0.0,20.0
89400,Hyrynsalmi,28.49061878549685,64.67696375336544,13.0,0.0,0.0,13.0
32700,Huittinen,22.723630776658233,61.16055191547468,10.0,8.0,0.0,18.0
21760,Houtskär,21.368340602999563,60.22337449028367,0.0,0.0,0.0,0.0
15860,Hollola,25.54041411455841,60.988185361930654,22.0,0.0,0.0,22.0
100,Helsinki,24.920967681790373,60.17124268573098,4.0,8.0,0.0,12.0
140,Helsinki,24.944451343153762,60.15639245612581,4.0,8.0,0.0,12.0
160,Helsinki,24.97553327419746,60.167605084449,4.0,8.0,0.0,12.0
180,Helsinki,24.91021581819277,60.15783740518264,4.0,8.0,0.0,12.0
210,Helsinki,24.880234080210418,60.15158557198405,4.0,8.0,0.0,12.0
230,Helsinki,24.919475207887867,60.21506860140772,4.0,8.0,0.0,12.0
300,Helsinki,24.894578047990876,60.20270538295136,4.0,8.0,0.0,12.0
390,Helsinki,24.84411982178974,60.241937539233625,4.0,8.0,0.0,12.0
510,Helsinki,24.95357024838582,60.192584990420194,4.0,8.0,0.0,12.0
700,Helsinki,25.0108470052616,60.25006005857371,4.0,8.0,0.0,12.0
750,Helsinki,25.012518072707135,60.27882459670699,4.0,8.0,0.0,12.0
880,Helsinki,25.036041299427882,60.19400477985754,4.0,8.0,0.0,12.0
940,Helsinki,25.0772083983882,60.23123648378431,4.0,8.0,0.0,12.0
970,Helsinki,25.1162146133106,60.2380463961459,4.0,8.0,0.0,12.0
980,Helsinki,25.035917483351277,60.193991632847855,4.0,8.0,0.0,12.0
79700,Heinävesi,28.631588179880566,62.42647085790196,0.0,0.0,0.0,0.0
18100,Heinola,26.050318907071595,61.207133638890625,16.0,0.0,0.0,16.0
90830,Haukipudas,25.35044433254443,65.17411012429756,0.0,0.0,0.0,0.0
19600,Hartola,26.010932212821768,61.58352654697705,15.0,0.0,0.0,15.0
29200,Harjavalta,22.13875547068179,61.31327727899656,0.0,0.0,0.0,0.0
10940,Hanko,22.942297203770433,59.826540876270904,0.0,0.0,0.0,0.0
41520,Hankasalmi,26.43695147920292,62.389864919537885,0.0,0.0,0.0,0.0
82200,Hammaslahti,29.98290729061616,62.43562134181563,9.0,0.0,0.0,9.0
49420,Hamina,27.133015591025366,60.55500378741329,10.0,0.0,0.0,10.0
90480,Hailuoto,24.73368492712901,65.0149501664978,0.0,0.0,0.0,0.0
86600,Haapavesi,25.365725983413512,64.13848341823747,8.0,0.0,0.0,8.0
85800,Haapajärvi,25.321595019537842,63.74898181283138,18.0,0.0,0.0,18.0
30100,Forssa,23.626460829402284,60.817125448240304,3.0,0.0,0.0,3.0
62500,Evijärvi,23.476244521544235,63.36505557653989,0.0,0.0,0.0,0.0
27510,Eura,22.144469845506805,61.13280968500525,8.0,8.0,0.0,16.0
2630,Espoo 63,24.774289213369,60.20713029201199,0.0,0.0,0.0,0.0
2100,Espoo,24.804629260804457,60.17158507517161,11.0,11.0,0.0,22.0
2240,Espoo,24.73040497467579,60.16499880010302,11.0,11.0,0.0,22.0
2320,Espoo,24.636753867305167,60.15387392774968,11.0,11.0,0.0,22.0
2770,Espoo,24.659900656221645,60.204943635026595,11.0,11.0,0.0,22.0
99400,Enontekiö,23.619910923141443,68.38536634395075,0.0,0.0,0.0,0.0
81200,Eno,30.15652907194641,62.80005743059694,0.0,0.0,0.0,0.0
21380,Aura,22.589846807021342,60.6486699676133,19.0,0.0,0.0,19.0
52100,Anttola,27.64995919313266,61.58232967337701,0.0,0.0,0.0,0.0
63300,Alavus,23.619711118690837,62.58574153482153,25.0,0.0,0.0,25.0
62900,Alajärvi,23.816087694763954,63.00186093498903,18.0,0.0,0.0,18.0
37800,Akaa,23.892149509004778,61.1673178705578,0.0,0.0,0.0,0.0
